date,volume,open,high,low,close,adjclose
2020-07-02,28484300,367.8500061035160,370.4700012207030,363.6400146484380,364.1099853515630,364.1099853515630
2020-07-01,27684300,365.1199951171880,367.3599853515630,363.9100036621090,364.1099853515630,364.1099853515630
2020-06-30,35055800,360.0799865722660,365.9800109863280,360,364.79998779296900,364.79998779296900
2020-06-29,32661500,353.25,362.1700134277340,351.2799987792970,361.7799987792970,361.7799987792970
2020-06-26,51314200,364.4100036621090,365.32000732421900,353.0199890136720,353.6300048828130,353.6300048828130
2020-06-25,34380600,360.70001220703100,365,357.57000732421900,364.8399963378910,364.8399963378910
2020-06-24,48155800,365,368.7900085449220,358.5199890136720,360.05999755859400,360.05999755859400
2020-06-23,53038900,364,372.3800048828130,362.2699890136720,366.5299987792970,366.5299987792970
2020-06-22,33861300,351.3399963378910,359.4599914550780,351.1499938964840,358.8699951171880,358.8699951171880
2020-06-19,66119000,354.6400146484380,356.55999755859400,345.1499938964840,349.7200012207030,349.7200012207030
2020-06-18,24205100,351.4100036621090,353.45001220703100,349.2200012207030,351.7300109863280,351.7300109863280
2020-06-17,28532000,355.1499938964840,355.3999938964840,351.0899963378910,351.5899963378910,351.5899963378910
2020-06-16,41357200,351.4599914550780,353.20001220703100,344.7200012207030,352.0799865722660,352.0799865722660
2020-06-15,34702200,333.25,345.67999267578100,332.5799865722660,342.989990234375,342.989990234375
2020-06-12,50001500,344.7200012207030,347.79998779296900,334.2200012207030,338.79998779296900,338.79998779296900
2020-06-11,50415600,349.30999755859400,351.05999755859400,335.4800109863280,335.8999938964840,335.8999938964840
2020-06-10,41662900,347.8999938964840,354.7699890136720,346.0899963378910,352.8399963378910,352.8399963378910
2020-06-09,36928100,332.1400146484380,345.6099853515630,332.010009765625,343.989990234375,343.989990234375
2020-06-08,23913600,330.25,333.6000061035160,327.32000732421900,333.4599914550780,333.4599914550780
2020-06-05,34312600,323.3500061035160,331.75,323.2300109863280,331.5,331.5
2020-06-04,21890100,324.3900146484380,325.6199951171880,320.7799987792970,322.32000732421900,322.32000732421900
2020-06-03,26122800,324.6600036621090,326.20001220703100,322.29998779296900,325.1199951171880,325.1199951171880
2020-06-02,21910700,320.75,323.44000244140600,318.92999267578100,323.3399963378910,323.3399963378910
2020-06-01,20197800,317.75,322.3500061035160,317.2099914550780,321.8500061035160,321.8500061035160
2020-05-29,38399500,319.25,321.1499938964840,316.4700012207030,317.94000244140600,317.94000244140600
2020-05-28,33390200,316.7699890136720,323.44000244140600,315.6300048828130,318.25,318.25
2020-05-27,28236300,316.1400146484380,318.7099914550780,313.0899963378910,318.1099853515630,318.1099853515630
2020-05-26,31380500,323.5,324.239990234375,316.5,316.7300109863280,316.7300109863280
2020-05-22,20450800,315.7699890136720,319.2300109863280,315.3500061035160,318.8900146484380,318.8900146484380
2020-05-21,25672200,318.6600036621090,320.8900146484380,315.8699951171880,316.8500061035160,316.8500061035160
2020-05-20,27876200,316.67999267578100,319.5199890136720,316.5199890136720,319.2300109863280,319.2300109863280
2020-05-19,25432400,315.0299987792970,318.5199890136720,313.010009765625,313.1400146484380,313.1400146484380
2020-05-18,33843100,313.1700134277340,316.5,310.32000732421900,314.9599914550780,314.9599914550780
2020-05-15,41587100,300.3500061035160,307.8999938964840,300.2099914550780,307.7099914550780,307.7099914550780
2020-05-14,39732300,304.510009765625,309.7900085449220,301.5299987792970,309.5400085449220,309.5400085449220
